한칸,l_type,name,학점,교강사,time
,교양,글로벌핵심영어2(상경대학_중급),2,매튜웨스트,"월5,6,7,8(인문421)"
,교양,글로벌핵심영어2(상경대학_중급),2,이유진,"월5,6,7,8(상경418)"
,교양,글로벌핵심영어2(상경대학_중급),2,조영상,"월5,6,7,8(상경507)"
,교양,글로벌핵심영어2(예술디자인대학_중급),2,스튜어트존스,"수11,12,13,14(인문203)"
,교양,글로벌핵심영어2(예술디자인대학_중급),2,쉐인케네디,"수11,12,13,14(상경401)"
,교양,글로벌핵심영어2(예술디자인대학_중급),2,앤드류리차드,"수11,12,13,14(인문101)"
,교양,글로벌핵심영어2(예술디자인대학_중급),2,나탈리할레만스,"수11,12,13,14(인문421)"
,교양,글로벌핵심영어2(음악대학_중급),2,데릭벨,"수11,12,13,14(상경417)"
,교양,글로벌핵심영어2(음악대학_중급),2,데이비드캐버나,"수11,12,13,14(상경507)"
,교양,"글로벌핵심영어2(건축대학,공과대학_고급)",2,스튜어트존스,"수1,2,3,4(사회304)"
,교양,글로벌핵심영어2(공과대학_고급),2,김경란,"수5,6,7,8(인문102)"
,교양,"글로벌핵심영어2(문과대학,법과대학_고급)",2,스튜어트존스,"금11,12,13,14(상경507)"
,교양,"글로벌핵심영어2(사범대학,사회과학대학_고급)",2,찰스코퍼랜드,"목11,12,13,14(사범402)"
,교양,글로벌핵심영어2(상경대학_고급),2,찰스코퍼랜드,"월5,6,7,8(인문101)"
,교양,"글로벌핵심영어2(예술디자인대학,음악대학_고급)",2,김경란,"수11,12,13,14(3공518)"
,교양,글로벌핵심영어3(건축대학_초급),2,그렉캐리,"금1,2,3,4(3공518)"
,교양,글로벌핵심영어3(공과대학_초급),2,데이비드캐버나,"금5,6,7,8(사회304)"
,교양,글로벌핵심영어3(공과대학_초급),2,조영상,"금5,6,7,8(인문102)"
,교양,글로벌핵심영어3(공과대학_초급),2,찰스코퍼랜드,"목5,6,7,8(인문201)"
,교양,글로벌핵심영어3(공과대학_초급),2,데이비드캐버나,"목5,6,7,8(상경401)"
,교양,글로벌핵심영어3(공과대학_초급),2,앤드류리차드,"목5,6,7,8(3공518)"
,교양,글로벌핵심영어3(예술디자인대학_초급),2,그렉캐리,"화5,6,7,8(인문102)"
