한칸,l_type,교과목명,학점,교강사,요일/시간/(강의실)
,교양,"글로벌핵심영어2([산업경영학과(야간) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,크리스토퍼얼빈,"화21,22(사회405)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,김의영,"금6,7,8,9(1과308)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,차민영,"금6,7,8,9(1과321)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박성만,"금6,7,8,9(1과317)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박은,"금6,7,8,9(1과318)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,배상희,"금6,7,8,9(1과407)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,전수인,"금6,7,8,9(1과514)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,주미란,"금6,7,8,9(1과515)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,임희주,"금6,7,8,9(1과004-01)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,한도인,"금6,7,8,9(1과004-02)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,허선영,"금6,7,8,9(1과507)"
,교양,"글로벌핵심영어2([자연과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,데이비드와쉬번,"금6,7,8,9(1과508)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,김의영,"금2,3,4,5(2과107)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,차민영,"금2,3,4,5(2과515)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박성만,"금2,3,4,5(2과516)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박은,"금2,3,4,5(2과510)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,배상희,"금2,3,4,5(1과007-01)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,전수인,"금2,3,4,5(1과320)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,주미란,"금2,3,4,5(2과217)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,임희주,"금2,3,4,5(2과305)"
